A-bPCE: N=40, Pf=0.00014, range=[0, 0.000587], relative range=4.1929, stable=0
A-bPCE: N=41, Pf=0.000102, range=[4e-06, 0.00047], relative range=4.5686, stable=0
A-bPCE: N=42, Pf=0.0002, range=[1.5e-05, 0.001721], relative range=8.53, stable=0
A-bPCE: N=43, Pf=0.000305, range=[0.000146, 0.001487], relative range=4.3967, stable=0
A-bPCE: N=44, Pf=0.000162, range=[0.000139, 0.003309], relative range=19.568, stable=0
A-bPCE: N=45, Pf=0.000182, range=[0.000128, 0.002469], relative range=12.863, stable=0
A-bPCE: N=46, Pf=0.0003, range=[0.000124, 0.00139], relative range=4.22, stable=0
A-bPCE: N=47, Pf=0.000483, range=[0.000187, 0.050059], relative range=103.25, stable=0
A-bPCE: N=48, Pf=0.000431, range=[0.000265, 0.001905], relative range=3.8051, stable=0
A-bPCE: N=49, Pf=0.000301, range=[0.000195, 0.001555], relative range=4.5183, stable=0
A-bPCE: N=50, Pf=0.000267, range=[0.000245, 0.182512], relative range=682.65, stable=0
A-bPCE: N=51, Pf=0.000383, range=[0.000199, 0.000708], relative range=1.329, stable=0
A-bPCE: N=52, Pf=0.000517, range=[0.000393, 0.023013], relative range=43.752, stable=0
A-bPCE: N=53, Pf=0.000246, range=[0.005262, 0.132066], relative range=515.46, stable=0
A-bPCE: N=54, Pf=0.000602, range=[0.000293, 0.003453], relative range=5.2492, stable=0
A-bPCE: N=55, Pf=0.000416, range=[0.000159, 0.000762], relative range=1.4495, stable=0
A-bPCE: N=56, Pf=0.000407, range=[0.000279, 0.00251], relative range=5.4816, stable=0
A-bPCE: N=57, Pf=0.000441, range=[0.000347, 0.000713], relative range=0.82993, stable=0
A-bPCE: N=58, Pf=0.000382, range=[0.000267, 0.000533], relative range=0.69634, stable=0
A-bPCE: N=59, Pf=0.000469, range=[0.000356, 0.000877], relative range=1.1109, stable=0
A-bPCE: N=60, Pf=0.000432, range=[0.000278, 0.000622], relative range=0.7963, stable=0
A-bPCE: N=61, Pf=0.000338, range=[0.000283, 0.000988], relative range=2.0858, stable=0
A-bPCE: N=62, Pf=0.000347, range=[0.000216, 0.001313], relative range=3.1614, stable=0
A-bPCE: N=63, Pf=0.000433, range=[0.000323, 0.000803], relative range=1.1085, stable=0
A-bPCE: N=64, Pf=0.000367, range=[0.00027, 0.000625], relative range=0.9673, stable=0
A-bPCE: N=65, Pf=0.000787, range=[0.000479, 0.006006], relative range=7.0229, stable=0
A-bPCE: N=66, Pf=0.000575, range=[0.000444, 0.001372], relative range=1.6139, stable=0
A-bPCE: N=67, Pf=0.000897, range=[0.000632, 0.001273], relative range=0.7146, stable=0
A-bPCE: N=68, Pf=0.000891, range=[0.000691, 0.001166], relative range=0.53311, stable=0
