seed,pf,beta,evals
0,2.138214e-03,2.857017,65
1,2.208221e-03,2.846776,65
2,2.154215e-03,2.854650,65
3,2.240224e-03,2.842192,65
4,2.206234e-03,2.847063,68
5,2.106211e-03,2.861800,65
6,2.240224e-03,2.842192,65
7,2.214221e-03,2.845912,65
8,2.170217e-03,2.852298,65
9,2.290229e-03,2.835147,65
10,2.238224e-03,2.842477,65
11,2.136214e-03,2.857314,65
12,2.302230e-03,2.833477,65
13,2.252225e-03,2.840488,65
14,2.240224e-03,2.842192,65
15,2.256226e-03,2.839922,65
16,2.258226e-03,2.839640,65
17,2.148215e-03,2.855536,65
18,2.230223e-03,2.843618,65
19,2.242224e-03,2.841908,65
20,2.176218e-03,2.851421,65
21,2.110211e-03,2.861199,65
22,2.260226e-03,2.839357,65
23,2.234223e-03,2.843047,65
24,2.260226e-03,2.839357,65
25,2.140214e-03,2.856720,65
26,2.194219e-03,2.848801,65
27,2.220222e-03,2.845050,65
28,2.246225e-03,2.841339,65
29,2.236224e-03,2.842762,65
30,2.268227e-03,2.838230,65
31,2.166217e-03,2.852885,65
32,2.174217e-03,2.851713,65
33,2.150215e-03,2.855240,65
34,2.296230e-03,2.834311,65
35,2.128213e-03,2.858505,65
36,2.262226e-03,2.839075,65
37,2.128213e-03,2.858505,65
38,2.158216e-03,2.854060,65
39,2.120212e-03,2.859700,65
40,2.164216e-03,2.853178,65
41,2.226227e-03,2.844190,66
42,2.288229e-03,2.835426,65
43,2.282228e-03,2.836265,65
44,2.162216e-03,2.853472,65
45,2.152215e-03,2.854945,65
46,2.170217e-03,2.852298,65
47,2.098210e-03,2.863006,65
48,2.156216e-03,2.854355,65
49,2.164216e-03,2.853178,65
50,2.316232e-03,2.831539,65
51,2.198220e-03,2.848221,65
52,2.190219e-03,2.849381,65
53,1.898190e-03,2.894603,65
54,2.262226e-03,2.839075,65
55,2.178218e-03,2.851129,65
56,2.140214e-03,2.856720,65
57,2.184218e-03,2.850254,65
58,2.192219e-03,2.849091,65
59,2.196220e-03,2.848511,65
60,2.216222e-03,2.845624,65
61,2.160216e-03,2.853766,65
62,2.202220e-03,2.847642,65
63,2.220222e-03,2.845050,65
64,2.192219e-03,2.849091,65
65,2.188219e-03,2.849672,65
66,2.248225e-03,2.841055,65
67,2.174217e-03,2.851713,65
68,2.206221e-03,2.847065,65
69,2.154215e-03,2.854650,65
70,2.232223e-03,2.843333,65
71,2.248225e-03,2.841055,65
72,2.210230e-03,2.846487,67
73,2.164216e-03,2.853178,65
74,2.200220e-03,2.847931,65
75,2.128213e-03,2.858505,65
76,1.904190e-03,2.893612,65
77,2.188219e-03,2.849672,65
78,2.208221e-03,2.846776,65
79,2.162221e-03,2.853471,66
80,2.208221e-03,2.846776,65
81,2.196220e-03,2.848511,65
82,2.082208e-03,2.865431,65
83,2.180218e-03,2.850837,65
84,2.228223e-03,2.843904,65
85,2.248225e-03,2.841055,65
86,2.200220e-03,2.847931,65
87,2.140214e-03,2.856720,65
88,2.146215e-03,2.855831,65
89,2.190219e-03,2.849381,65
90,2.194219e-03,2.848801,65
91,2.160216e-03,2.853766,65
92,2.142214e-03,2.856424,65
93,2.162216e-03,2.853472,65
94,2.198268e-03,2.848214,76
95,2.164216e-03,2.853178,65
96,2.336234e-03,2.828788,65
97,2.140214e-03,2.856720,65
98,2.138214e-03,2.857017,65
99,2.190219e-03,2.849381,65
