seed,pf,beta,evals
0,7.864834e-03,2.415128,68
1,5.124533e-03,2.567311,67
2,5.646678e-03,2.533488,75
3,2.974297e-03,2.750602,65
4,3.367377e-01,0.421383,65
5,1.333285e-02,2.216377,122
6,3.258373e-01,0.451437,109
7,5.072314e-01,-0.018128,184
8,1.049751e-02,2.308074,87
9,1.970225e-03,2.882890,72
10,1.600879e-02,2.144191,102
11,6.458646e-03,2.486041,65
12,7.247102e-03,2.444776,91
13,6.126821e-03,2.504754,82
14,3.690384e-03,2.679157,67
15,3.754713e-03,2.673366,110
16,3.899314e-01,0.279498,104
17,6.114722e-03,2.505454,74
18,1.970197e-03,2.882894,65
19,3.839430e-01,0.295141,84
20,5.974896e-03,2.513624,90
21,1.564857e-02,2.153274,97
22,4.320401e-01,0.171182,117
23,5.168837e-03,2.564325,96
24,7.140714e-03,2.450106,65
25,6.440696e-03,2.487032,69
26,8.070839e-03,2.405696,67
27,4.492467e-03,2.612627,67
28,1.960196e-03,2.884497,65
29,7.946795e-03,2.411350,65
30,7.509021e-03,2.431944,83
31,3.862448e-03,2.663863,73
32,2.702427e-01,0.612079,131
33,2.318236e-03,2.831262,66
34,2.562302e-03,2.799095,74
35,4.156532e-03,2.639083,79
36,3.224322e-03,2.724052,65
37,3.971908e-01,0.260625,84
38,7.216982e-03,2.446278,83
39,3.566357e-03,2.690584,65
40,9.079289e-03,2.362369,86
41,7.349176e-03,2.439727,95
42,5.481999e-01,-0.121115,66
43,7.446998e-03,2.434946,82
44,2.066302e-03,2.867858,88
45,2.614267e-03,2.792606,66
46,7.702801e-03,2.422701,67
47,7.184948e-03,2.447881,81
48,1.982955e-02,2.057282,155
49,2.036204e-03,2.872498,65
50,4.542509e-03,2.608838,71
51,9.429056e-03,2.348324,71
52,5.457808e-01,-0.115008,78
53,2.724283e-03,2.779243,67
54,2.948561e-01,0.539253,100
55,5.479067e-01,-0.120374,74
56,1.355987e-02,2.209790,84
57,4.428523e-03,2.617523,74
58,3.836384e-03,2.666140,65
59,3.302016e-01,0.439357,84
60,5.284708e-03,2.556621,82
61,7.200965e-03,2.447079,82
62,3.348582e-01,0.426537,81
63,3.662542e-03,2.681692,89
64,5.722004e-01,-0.181979,101
65,3.006313e-03,2.747092,67
66,7.228723e-03,2.445692,65
67,6.404743e-03,2.489022,73
68,5.078599e-03,2.570431,74
69,3.606361e-03,2.686860,65
70,5.304639e-01,-0.076436,96
71,3.388814e-01,0.415518,82
72,4.460571e-03,2.615061,79
73,4.172272e-01,0.208992,189
74,1.846185e-03,2.903313,65
75,2.192324e-03,2.849075,89
76,1.834323e-02,2.089236,103
77,4.506469e-03,2.611563,67
78,4.112428e-03,2.642697,67
79,4.624708e-01,0.094211,98
80,3.451175e-01,0.398536,78
81,2.008201e-03,2.876871,65
82,3.605775e-01,0.356916,67
83,6.482687e-03,2.484719,68
84,5.576558e-03,2.537865,65
85,2.048890e-01,0.824284,76
86,4.226626e-03,2.633409,89
87,8.368921e-03,2.392416,70
88,3.244357e-03,2.722005,70
89,4.478586e-01,0.131073,134
90,3.216099e-01,0.463202,77
91,2.070269e-03,2.867252,80
92,3.708401e-03,2.677526,69
93,2.704308e-03,2.781633,72
94,3.250358e-03,2.721394,70
95,3.456346e-03,2.701021,65
96,4.586459e-03,2.605541,65
97,1.248452e-01,1.151102,84
98,3.150548e-03,2.731687,102
99,2.152215e-03,2.854945,65
