seed,pf,beta,evals
0,1.075215e-03,3.068630,161
1,8.261206e-04,3.146523,154
2,8.201001e-04,3.148662,142
3,1.042716e-03,3.077788,164
4,1.102701e-03,3.061080,154
5,1.973879e-03,2.882306,164
6,8.021027e-04,3.155141,145
7,1.282782e-03,3.015499,169
8,1.025164e-03,3.082844,145
9,8.241203e-04,3.147232,154
10,1.170187e-03,3.043250,145
11,8.901211e-04,3.124638,149
12,8.941162e-04,3.123320,146
13,8.501360e-04,3.138134,161
14,7.434052e-04,3.177246,139
15,8.941127e-04,3.123321,144
16,6.950788e-04,3.196687,149
